Date,State,Dispensed
7/09/2019,NSW," 89,945 "
14/09/2019,NSW," 91,384 "
21/09/2019,NSW," 88,897 "
28/09/2019,NSW," 89,550 "
5/10/2019,NSW," 89,332 "
12/10/2019,NSW," 81,304 "
19/10/2019,NSW," 88,952 "
26/10/2019,NSW," 87,730 "
2/11/2019,NSW," 91,391 "
9/11/2019,NSW," 89,364 "
16/11/2019,NSW," 99,243 "
23/11/2019,NSW," 100,146 "
30/11/2019,NSW," 96,637 "
7/12/2019,NSW," 105,326 "
14/12/2019,NSW," 111,504 "
21/12/2019,NSW," 118,256 "
28/12/2019,NSW," 89,784 "
4/01/2020,NSW," 94,688 "
11/01/2020,NSW," 77,891 "
18/01/2020,NSW," 75,533 "
25/01/2020,NSW," 76,578 "
1/02/2020,NSW," 70,507 "
8/02/2020,NSW," 76,058 "
15/02/2020,NSW," 75,483 "
22/02/2020,NSW," 77,146 "
1/03/2020,NSW," 84,557 "
7/09/2019,VIC," 64,242 "
14/09/2019,VIC," 63,972 "
21/09/2019,VIC," 64,043 "
28/09/2019,VIC," 58,962 "
5/10/2019,VIC," 65,686 "
12/10/2019,VIC," 64,127 "
19/10/2019,VIC," 63,328 "
26/10/2019,VIC," 63,412 "
2/11/2019,VIC," 69,293 "
9/11/2019,VIC," 66,132 "
16/11/2019,VIC," 68,706 "
23/11/2019,VIC," 68,590 "
30/11/2019,VIC," 70,319 "
7/12/2019,VIC," 69,679 "
14/12/2019,VIC," 71,215 "
21/12/2019,VIC," 75,484 "
28/12/2019,VIC," 64,778 "
4/01/2020,VIC," 67,373 "
11/01/2020,VIC," 59,093 "
18/01/2020,VIC," 60,388 "
25/01/2020,VIC," 56,045 "
1/02/2020,VIC," 51,190 "
8/02/2020,VIC," 56,760 "
15/02/2020,VIC," 53,450 "
22/02/2020,VIC," 53,953 "
1/03/2020,VIC," 61,320 "
7/09/2019,QLD," 55,219 "
14/09/2019,QLD," 57,498 "
21/09/2019,QLD," 54,970 "
28/09/2019,QLD," 50,651 "
5/10/2019,QLD," 51,562 "
12/10/2019,QLD," 48,805 "
19/10/2019,QLD," 51,993 "
26/10/2019,QLD," 50,722 "
2/11/2019,QLD," 50,824 "
9/11/2019,QLD," 51,325 "
16/11/2019,QLD," 57,637 "
23/11/2019,QLD," 54,577 "
30/11/2019,QLD," 54,031 "
7/12/2019,QLD," 54,428 "
14/12/2019,QLD," 57,575 "
21/12/2019,QLD," 62,110 "
28/12/2019,QLD," 47,683 "
4/01/2020,QLD," 51,646 "
11/01/2020,QLD," 42,409 "
18/01/2020,QLD," 42,671 "
25/01/2020,QLD," 43,555 "
1/02/2020,QLD," 41,699 "
8/02/2020,QLD," 44,143 "
15/02/2020,QLD," 43,966 "
22/02/2020,QLD," 45,047 "
1/03/2020,QLD," 49,629 "
7/09/2019,SA," 23,019 "
14/09/2019,SA," 23,447 "
21/09/2019,SA," 24,501 "
28/09/2019,SA," 23,407 "
5/10/2019,SA," 23,883 "
12/10/2019,SA," 21,960 "
19/10/2019,SA," 23,683 "
26/10/2019,SA," 22,555 "
2/11/2019,SA," 22,902 "
9/11/2019,SA," 23,141 "
16/11/2019,SA," 23,846 "
23/11/2019,SA," 23,334 "
30/11/2019,SA," 23,786 "
7/12/2019,SA," 24,202 "
14/12/2019,SA," 24,554 "
21/12/2019,SA," 25,400 "
28/12/2019,SA," 22,701 "
4/01/2020,SA," 22,418 "
11/01/2020,SA," 18,779 "
18/01/2020,SA," 18,419 "
25/01/2020,SA," 19,372 "
1/02/2020,SA," 17,504 "
8/02/2020,SA," 19,545 "
15/02/2020,SA," 18,870 "
22/02/2020,SA," 19,175 "
1/03/2020,SA," 20,713 "
7/09/2019,WA," 20,770 "
14/09/2019,WA," 20,384 "
21/09/2019,WA," 20,285 "
28/09/2019,WA," 21,107 "
5/10/2019,WA," 19,353 "
12/10/2019,WA," 19,964 "
19/10/2019,WA," 20,664 "
26/10/2019,WA," 20,140 "
2/11/2019,WA," 20,380 "
9/11/2019,WA," 19,718 "
16/11/2019,WA," 20,318 "
23/11/2019,WA," 20,620 "
30/11/2019,WA," 20,672 "
7/12/2019,WA," 20,207 "
14/12/2019,WA," 21,303 "
21/12/2019,WA," 23,558 "
28/12/2019,WA," 19,277 "
4/01/2020,WA," 21,293 "
11/01/2020,WA," 15,995 "
18/01/2020,WA," 15,599 "
25/01/2020,WA," 16,463 "
1/02/2020,WA," 15,408 "
8/02/2020,WA," 16,523 "
15/02/2020,WA," 16,072 "
22/02/2020,WA," 16,549 "
1/03/2020,WA," 18,778 "
7/09/2019,TAS," 7,794 "
14/09/2019,TAS," 7,643 "
21/09/2019,TAS," 7,610 "
28/09/2019,TAS," 7,601 "
5/10/2019,TAS," 7,593 "
12/10/2019,TAS," 7,182 "
19/10/2019,TAS," 7,739 "
26/10/2019,TAS," 7,238 "
2/11/2019,TAS," 7,759 "
9/11/2019,TAS," 7,206 "
16/11/2019,TAS," 7,838 "
23/11/2019,TAS," 7,936 "
30/11/2019,TAS," 7,683 "
7/12/2019,TAS," 8,036 "
14/12/2019,TAS," 8,394 "
21/12/2019,TAS," 9,152 "
28/12/2019,TAS," 7,112 "
4/01/2020,TAS," 7,665 "
11/01/2020,TAS," 6,547 "
18/01/2020,TAS," 6,485 "
25/01/2020,TAS," 6,483 "
1/02/2020,TAS," 5,886 "
8/02/2020,TAS," 6,936 "
15/02/2020,TAS," 6,367 "
22/02/2020,TAS," 6,618 "
1/03/2020,TAS," 7,286 "
7/09/2019,NT," 1,309 "
14/09/2019,NT," 1,158 "
21/09/2019,NT," 1,185 "
28/09/2019,NT," 1,227 "
5/10/2019,NT," 1,214 "
12/10/2019,NT," 1,166 "
19/10/2019,NT," 1,227 "
26/10/2019,NT," 1,174 "
2/11/2019,NT," 1,239 "
9/11/2019,NT," 1,228 "
16/11/2019,NT," 1,246 "
23/11/2019,NT," 1,274 "
30/11/2019,NT," 1,331 "
7/12/2019,NT," 1,196 "
14/12/2019,NT," 1,364 "
21/12/2019,NT," 1,451 "
28/12/2019,NT," 1,080 "
4/01/2020,NT," 1,217 "
11/01/2020,NT," 1,159 "
18/01/2020,NT," 1,120 "
25/01/2020,NT," 1,123 "
1/02/2020,NT," 1,159 "
8/02/2020,NT," 1,251 "
15/02/2020,NT," 1,171 "
22/02/2020,NT," 1,208 "
1/03/2020,NT," 1,249 "
7/09/2019,ACT," 3,409 "
14/09/2019,ACT," 3,733 "
21/09/2019,ACT," 3,509 "
28/09/2019,ACT," 3,497 "
5/10/2019,ACT," 3,516 "
12/10/2019,ACT," 3,006 "
19/10/2019,ACT," 3,515 "
26/10/2019,ACT," 3,466 "
2/11/2019,ACT," 3,641 "
9/11/2019,ACT," 3,499 "
16/11/2019,ACT," 3,701 "
23/11/2019,ACT," 3,638 "
30/11/2019,ACT," 3,776 "
7/12/2019,ACT," 3,920 "
14/12/2019,ACT," 4,417 "
21/12/2019,ACT," 5,135 "
28/12/2019,ACT," 3,577 "
4/01/2020,ACT," 4,928 "
11/01/2020,ACT," 4,883 "
18/01/2020,ACT," 3,580 "
25/01/2020,ACT," 3,171 "
1/02/2020,ACT," 3,171 "
8/02/2020,ACT," 3,201 "
15/02/2020,ACT," 3,102 "
22/02/2020,ACT," 2,937 "
1/03/2020,ACT," 3,530 "
